ich	I
Inhalt	the content
mitgehen	to go along
Gewohnheit	the custom, the habit
wesentlich	1. essential, fundamental. 2. substantial, significant
Nachbarin	the female neighbour
Jeans	the jeans
arabisch	Arabian
vermuten	to suppose
Triumph	the triumph
Terror	the terror (no plural)
Schnurrbart	the moustache
Spaghetti	the spaghetti (plural only)
gruselig	gruesome
Kalender	the calendar
Patrouille	the patrol
Quittung	the receipt
kapieren	to get the picture, to understand (colloquial)
Durchsage	the announcement
befürchten	to fear (1)
Gruß	the salutation (singular), the regards (plural)
Jahreszeit	the season (as in spring, summer, autumn and winter)
Mathematik	the mathematics (no plural)
Höflichkeit	the courtesy, the politeness
wiederum	in turn, then again, on the other hand
Spezialität	the specialty
untergehen	to sink, to go under (figurative)
Alliierten	the Allies (WWII) (plural only)
Anrufbeantworter	the answering machine
Mitbewohner	the housemate, the roommate
angeben	1. to state, to declare. 2. to boast (colloquial)
Wurst	the sausage
sofern	provided that
Argument	the argument, the point, the case
winzig	tiny
Umarmung	the hug, the embrace
niedrig	low (2)
Bund	1. the league. 2. the federation
Bund	the bunch (e.g., of flowers)
durstig	thirsty
anzünden	to light a candle, cigarette, etc.
Streichholz	the wooden match (for lighting cigarettes, etc.)
enorm	enormous (exact cognate with English)
Schweiß	the sweat (no plural)
Dauer	the duration (no plural)
Schüssel	the bowl
inklusive	inclusive of
wegfahren	to drive away, to leave
Geiger	the male violinist
Geschwister	the sibling
Kritiker	the male critic
Haushalt	the household
Nachfrage	1. the inquiry. 2. the demand (economics)
Terrorist	the terrorist
Notiz	the note
Gipfel	the summit, the top
Weltall	the universe (W-) (no plural)
Packung	1. the package. 2. the pack (e.g., of müsli)
Drittel	the third
gütig	kind, gracious
Gastgeber	the host
ausleihen	1.to lend, to loan out. 2. to borrow
geduldig	patient
Unterhose	the underpants
Mittagspause	the lunch break
Feuerwehrmann	the fireman
verbieten	to forbid
Gärtner	the male gardner
ermitteln	1. to investigate. 2. to ascertain. 3. to determine
vermitteln	1. to mediate. 2. to intercede. 3. to broker. 4. to convey
Galerie	the gallery
zukommen	1. to approach. 2. to be bestowed (on). 3. to be due to
Pfennig	the penny
Tennis	the tennis (no plural)
global	global
Damm	the dam
Abflug	the departure (airplane)
ansprechen	to address, to consider
Pullover	the sweater (2) (long form)
Comic	the comics
vermieten	to rent out (as an owner)
Formular	the blank form
Instrument	the instrument
einrichten	1. to furnish (e.g., an apartment). 2. to arrange. 3. to set up, to establish
einschlagen	1. to wrap. 2. to smash
Brötchen	the (bread)roll
Lama	the llama
Lama	the lama (Tibetan buddhist monk)
Exemplar	the copy (of a book, etc.)
Geschirr	the dishes, the dinnerware (no plural)
Gans	the goose
abhängen	to depend
Galaxie	the galaxy
Klingel	the (door)bell
Bluse	the blouse
darstellen	1. to depict, to present. 2. to portray, to act (a character in, e.g., a play)
fluchen	to swear
Armband	the bracelet
schleppen	to drag
weiblich	female (adj.)
Zahnbürste	the toothbrush
Phänomen	the phenomenon
Pflaster	the plaster, the adhesive tape
bellen	to bark
hereinkommen	to come in (proper term)
Telefonbuch	the telephone directory
Reihenfolge	the sequence
Fernbedienung	the remote control
Abfahrt	the departure (bus)
durchmachen	to go through, to undergo
Sessel	the armchair
Kondom	the condom
schütteln	to shake
backen	to bake
Popcorn	the popcorn (no plural)
aufsetzen	to put on (one's head)
Ungarn	Hungary
Heizung	the (central) heating
Taschenlampe	the torch, the flashlight
Fels	the rock
politisch	political
Physik	the physics (no plural)
Wecker	the alarm clock
Biene	the bee
Hummel	the bumblebee
Diskette	the diskette
Kessel	the kettle
Outfit	the outfit
anderswo	somewhere else
Konflikt	the conflict
Behörde	the authority (government agency)
pflegen	to foster
Sekretär	the male secretary
Flugplatz	the airfield
Orangensaft	the orange juice
Mieter	the renter
tanken	to fill up with petrol
Ausstellung	the exhibition
Pudding	the pudding
Irland	Ireland
Frost	the frost
Klatsch	the gossip (no plural)
günstig	favourable
Haustür	the front door
Erkältung	the cold
Briefkasten	the mailbox
teilweise	partially
vierzig	forty
vergiften	to poison
passend	fitting
dreizehn	thirteen
kopieren	to copy
Industrie	the industry
Wohlstand	the affluence (no plural)
Knoblauch	the garlic (no plural)
Ski	the ski
Region	the region (exact cognate with English)
Slip	the panties, the briefs
anmachen	to put on, to turn on
investieren	to invest (exact cognate with English)
Schilling	the shilling (former Austrian currency)
Anschluss	1. the connection.  2. the hookup (for TV, internet, etc.)
deuten	to indicate, interpret
Herd	the stove
bankrott	bankrupt
Regal	the shelf
komplex	complex
Semester	the semester
Depression	the depression
Türkei	the Turkey (no plural)
Frühjahr	the spring, the early year
einpacken	to pack (1)
Latein	Latin (language)
Arbeitszimmer	the study (2)
verstärken	to strengthen
auslösen	to trigger, provoke
Vetter	the male cousin
flüchten	to flee (2)
fleißig	hard-working
Kindergarten	the kindergarten
Vorwurf	the reproach
kritisch	critical
Erzbischof	the archbishop
verspätet	delayed
blockieren	to block
Standort	the site
ärgerlich	annoying
Wiener	Viennese
reduziert	reduced
Ampel	the traffic light
Jugendliche	the female young person
Jugendliche	the male young person
beklagen	to complain (1)
nähen	to sew
Telefonzelle	the telephone booth
Klempner	the plumber
verhören	to interrogate
Kanzler	the male chancellor
Scanner	the scanner
Stiefmutter	the stepmother
Investition	the investment
modern	modern
Maß	the measure
Sonnenbrille	the sun glasses
Zeichnung	the drawing
Erkenntnis	the knowledge
tippen	to type
Grausamkeit	the cruelty
Perspektive	the perspective
klatschen	to clap
Getränk	the beverage
Schwägerin	the sister-in-law
Verwendung	the usage, use, appropriation
Tierarzt	the vet
Brasilien	Brazil
frieren	1. to be cold. 2. to freeze
falten	to fold
Nuss	the nut
letztlich	in the end
jüdisch	Jewish
Architekt	the architect
bislang	up to now
Verein	the club, the association
Tonne	1. the ton (unit of measurement). 2. the barrel (e.g., of crude oil)
Einkaufszentrum	the shopping centre
Weihnachtsgeschenk	the Christmas present
Lumpen	the rag
Aufsatz	the essay
endlos	endless
herauskommen	to come out (1)
Mehl	the flour (no plural)
Management	the management
vielmehr	rather (as in, e.g., Prussia is not a country with an army, rather an army with a country)
Kanadier	the Canadian person
Sowjetunion	the Soviet Union (no plural)
bevorzugen	to privilege, to prefer
best	best
Schildkröte	the tortoise
zusätzlich	additional
Debatte	the debate
Dialog	the dialogue
Studie	the survey
Schreck	the fright
Bedienung	the service in a restaurant, etc.
Veranstaltung	the (organised) event (e.g., a public lecture)
Forscher	the researcher
Absatz	1. the paragraph. 2. the heel (of a shoe)
Enkelin	the granddaughter
Gabel	the fork
Wachstum	the growth
griechisch	Greek (adj.)
Dimension	the dimension
schlank	slim
kleben	to glue, to stick on
Aktentasche	the briefcase
fügen	to add
gelingen	to succeed
Lehne	the rest: back rest, arm rest, etc.
Silvester	the New Year's Eve
Designer	the designer
schriftlich	in writing
Heimweg	the way home
Fußboden	the floor
unerhört	outrageous, unheard-of
Verwaltung	the administration
tätig	active
Arbeitgeber	the employer
Kaufhaus	the department store
Medikament	the medication
ausfüllen	to fill in a form
Bremse	the brake
gießen	to water
veröffentlichen	to publish
Gleis	the train track, the train line
kostenlos	costless
unzufrieden	dissatisfied
äußern	to express (2)
Hypothek	the mortgage
Terrasse	the terrace
Vorsitzende	the chairperson
Dom	the cathedral
Vulkan	the volcano
Trompete	the trumpet
Filmstar	the filmstar
besetzen	to occupy
Stiefvater	the stepfather
polnisch	Polish (adj.)
Einkommen	the income
Poster	the poster
versammeln	to gather
wegrennen	to run away
Konzern	the (business) concern, the business group
wiegen	to weigh
Wachs	the wax
beladen	loaded
Kopfhörer	the headphone
Haustier	the pet
raffiniert	refined
Scheinwerfer	the headlight, the floodlight, the spotlight
defekt	defective
Pulli	the sweater (1) (colloquial)
flirten	to flirt
verrecken	to die, to croak (4)
Heiligabend	the Christmas Eve
Schreiber	the scribe
sympathisch	pleasant, nice (persons or personal qualities)
gestresst	stressed
anhand	on the basis of
hungern	to go hungry
Künstlerin	the female artist
äußere	outer
saugen	to vacuum clean, to suck
hingegen	whereas
identisch	identical
Jura	law (as an academic subject) (no plural)
zitieren	to quote
Hausarbeit	the housework
Aufführung	the performance
Entwurf	the design
Klippe	the cliff
Teleskop	the telescope
Fax	the fax
Software	the software
Polizistin	the female police officer
auswählen	to choose
Gummi	1. the rubber, the gum. 2. the condom (colloquial). 3. the eraser (short form)
Sekt	the sparkling wine
Sekte	the sect
Belgien	Belgium
Tablett	the tray
korrigieren	to correct
aufwachsen	to grow up
Einhorn	the unicorn
Feiertag	the public holiday (1)
Tablette	the pill, the tablet
Parlament	the parliament
Schiedsrichter	the referee (sport)
trocknen	to dry
Auskunft	the information (1)
belasten	to burden
katholisch	Catholic
Arbeitsplatz	the place of work
Ochse	the ox
Tourist	the tourist
erweitern	to expand
Chefin	the female boss
Grundschule	the primary school
höllisch	hellish
berechnen	to calculate (1)
Architektur	the architecture
Mathe	the math (no plural)
Lenkrad	the steering wheel (1)
Bündel	the bundle
Ostern	the Easter (no plural)
ausschließlich	exclusive
Fassade	the facade
Cousine	the female cousin
unvorstellbar	unimaginable
Website	the website
Baumwolle	the cotton
Beleuchtung	the lighting
Dänemark	Denmark
eigen	own
zurückzahlen	to pay back (2)
Abendbrot	the light evening meal (usually with bread)
Dachboden	the attic
Seminar	the seminar
religiös	religious
Punk	the punk
mancher	some (three forms)
auflösen	to dissolve (as in, e.g., to dissolve salt in water)
Eigenschaft	the characteristic, the property
Diebin	the female thief
austauschen	to exchange (information, culture, hostages)
erstmals	for the first time (1)
Leser	the reader
Malerei	the painting (as an activity) (no plural)
Matrose	the sailor
Mehrheit	the majority
Hausfrau	the housewife
beschämt	ashamed
kritisieren	to criticise
Lebensunterhalt	the living expenses (no plural)
Kandidat	the candidate
zornig	angry
Darstellung	the depiction
Freundlichkeit	the friendliness (no plural)
Banane	the banana
undankbar	ungrateful
Nachthemd	the night-dress
Elefant	the elephant
Chile	Chile
Postkarte	the postcard
betonen	to stress, to emphasise
Marmelade	the jam
Karton	the carton, the box
fördern	to promote
Schwan	the swan
Teilnehmer	the participant
Schnecke	the snail
aufgeräumt	1. tidy. 2. cheerful
Planung	the planning
flicken	to mend
primitiv	primitive
Jüdin	the female Jew
Campus	the campus
unterschiedlich	different
Ellbogen	the elbow
glänzend	shiny
Schwiegermutter	the mother-in-law
auspacken	to unpack
Durchschnitt	the average
erfassen	to seize
Vorlesung	the lecture
aufessen	to eat up
Bleistift	the pencil
Flöte	the flute
Nordpol	the North Pole (no plural)
Lebenslauf	the CV
Kundin	the female customer
reservieren	to reserve
Biologie	the biology (no plural)
Sensation	the sensation (in the sense of something that arouses interest and excitement)
senken	to lower, to reduce
Ausfahrt	the exit of a highway
weitergeben	to pass along
grunzen	to grunt
Lippe	the lip
anschnallen	to fasten (seat belt)
züchten	to cultivate
bedeutungslos	meaningless
Alarmanlage	the alarm system
bedeutend	important (b-)
eineinhalb	one and a half (2)
Notizbuch	the notebook (not a computer) (2)
Institution	the institution (exact cognate with English)
Stau	the congestion, the gridlock
Haarschnitt	the haircut
schnarchen	to snore
Einfahrt	the entrance to a highway
Schlagzeug	the percussion
Witwer	the widower
Walzer	the waltz
Theaterstück	the theatrical play
Metzger	the butcher (2)
Vegetarier	the vegetarian
Pakistan	Pakistan
auffallen	to stand out
Wörterbuch	the dictionary
abbiegen	to bend
Regenschirm	the umbrella
eilen	to hurry
Argentinien	Argentina
anwenden	to apply (as in to use, to be relevant)
Mineralwasser	the mineral water
finanziell	financial
Wiese	the meadow, the hayfield
vierzehn	fourteen
Geschäftspartner	the business partner, the business associate
bessern	to improve (1)
vergrößern	to enlarge
Shampoo	the shampoo
Pfeffer	the pepper (no plural)
Waschmaschine	the washing machine
Speisekarte	the (restaurant) menu
Einwanderer	the immigrant (1)
vorziehen	to prefer
aufführen	to perform
Mülleimer	the rubbish bin (2)
beitragen	to contribute
ausschließen	to exclude
Lebensversicherung	the life insurance
Theke	the counter, the bar
optimistisch	optimistic
Finanzen	the finances (plural only)
Krug	the jug
Besserung	the improvement
Reißverschluss	the zipper
Panne	the failure, the breakdown
buchen	to book
spülen	to rinse, to douse water over, to flush
Kontinent	the continent
Schwiegervater	the father-in-law
Aktivität	the activity (exact cognate with English)
amerikanisch	American (adj.)
intensiv	intense
reduzieren	to reduce
Geburtstagsgeschenk	the birthday present
stützen	to support (physical, as in the columns support the roof), to prop up
Mitbürger	the fellow citizen
Shorts	the shorts (plural only)
Salami	the salami
Zahnpasta	the toothpaste (no plural)
Belastung	the burden
Kollegin	the female colleague
Reklame	the ad
Hersteller	the manufacturer
umkommen	to die (2)
vereinbaren	to agree
Ablauf	the procedure
heiter	bright weather
artig	1. well-behaved. 2. polite, gallant
ausüben	to practise (a profession)
Quote	1. the portion 2. the rate
Porträt	the portrait
Bürgersteig	the pavement, the sidewalk
Ehepaar	the married couple
Valentinstag	Valentine's Day
Waage	the weigh scale
machbar	doable
berücksichtigen	to consider
Schlips	the tie (2)
Schaffner	the ticket collector (on a train)
Lehrling	the apprentice (2)
Alltag	the daily routine (no plural)
türkisch	Turkish (adj.)
kleiden	to dress
flüchtig	elusive
hineingehen	to go in (1)
Millimeter	the millimetre (no plural)
Kalb	the calf (animal)
Getue	the fuss, carrying on about something (no plural)
qualifiziert	qualified
jährlich	yearly
pflücken	to pick
Bäcker	the baker
dröhnen	to boom
Reparatur	the repair
Fremdsprache	the foreign language
DDR	the GDR (no plural)
Pfand	the deposit, the collateral
definieren	to define
Schneesturm	the snowstorm
Definition	the definition
ICE	InterCity Express
Schlafanzug	the pajamas
Gutschein	the voucher
Serviette	the napkin
erleichtern	to relieve
Sauna	the sauna
buchstabieren	to spell
Konsulat	the consulate
Kartoffel	the potato
Treppenhaus	the staircase
Hochschule	the college, the university
Schnabel	1. the mouth (slang). 2. the beak (of a bird). 3. the spout (of a teapot)
Toaster	the toaster
Gymnasium	the nine-year school prior to higher education
Taschengeld	the pocket money
Sitte	the custom, the tradition
Vormittag	the morning, the time before noon
vorbeigehen	to go by, to go past, on the way
erzielen	to obtain
donnern	to thunder
Kenntnisse	the knowledge/proficiency in a particular skill (plural only)
Grabstein	the gravestone, the tombstone
geschmacklos	tasteless
Kamel	the camel
krumm	crooked, bent
Faktor	the factor
schaufeln	to shovel
Säge	the saw
Drucker	the printer
Vorgang	the process
Landkarte	the map
Verlag	the publishing house
maximal	a maximum of
anerkennen	to acknowledge, to recognise
Diktatur	the dictatorship
Paragraf	the paragraph (exact cognate with English)
vergnügt	merry
Karneval	the carnival (usually referring to Shrove Tuesday or Mardi Gras)
Wartezeit	the waiting period
Internat	the boarding school
zelten	to camp (in a tent)
Blockade	the blockade
Ausschnitt	the excerpt (1)
miserabel	miserable
Bäckerei	the bakery
Staubsauger	the vacuum cleaner
Pfanne	the pan
Aufbau	1. the construction (physical and abstract; no plural). 2. the structure, the organisation (e.g., of a story, of society; no plural). 3. the superstructure (as in something built on top of something else)
Zugführer	the train conductor
Peru	Peru
anschließend	subsequently, afterwards
verbittert	bitter, embittered
kreativ	creative
Ukraine	the Ukraine (no plural)
rücksichtslos	careless
Wichtigkeit	the importance (no plural)
Abteil	the compartment
Stammbaum	the family tree
medizinisch	medical
Koffein	the caffeine (no plural)
durchsetzen	1. to enforce, to force through. 2. to intersperse
Großeltern	the grandparents (plural only)
Disco	the disco
Baustelle	the building site
Umfang	the extent
Zwilling	the twin
Viertelstunde	the quarter hour
einreichen	to lodge, to file (e.g., a complaint, a lawsuit), to tender (e.g., a resignation, a bill)
abfahren	to depart
joggen	to jog
Klopapier	the toilet paper (colloquial)
Postamt	the post office
Olive	the olive
Reisende	the traveller
Thermometer	the thermometer
Zeitraum	the period of time
wahrnehmen	to perceive
Heft	the notebook (not a computer) (1)
mittels	by means of
Kommode	the dresser, the chest of drawers
seekrank	seasick
gegenwärtig	presently
belegen	to attend (a course)
erläutern	1. to exemplify. 2. to elucidate (something)
ablaufen	to run out
festlegen	to determine
Nichtsnutz	the good-for-nothing (noun)
Tätigkeit	the activity (as in, e.g., a job, the operation of an organisation, etc.)
einführen	to bring in
Buchhandlung	the bookshop, the bookstore
Umfrage	the survey, the poll
entwerfen	to draft, to design
Lebensstil	the life style
Hundefutter	the dog food (no plural)
Elektriker	the electrician (1)
Lachs	the salmon
Skulptur	the sculpture (exact cognate with English)
abwischen	to wipe
Grieche	the male Greek person
Antike	the Antiquity (era) (no plural)
ausschlafen	to sleep in
Portugal	Portugal
lebhaft	lively
Abgeordnete	the delegate, the representative
Briefträger	the mail carrier
Komponist	the male composer
Urgroßvater	the great grandfather
Acker	the (arable) field
mittlere	middle
Kugelschreiber	the ballpoint pen
kaputtmachen	to break, to ruin
Donau	the Danube (no plural name of a river)
Norwegen	Norway
Steward	the air steward
poetisch	poetic
musikalisch	musical (adj.)
Neujahr	the New Year
Ohrring	the earring
Wetterbericht	the weather forecast
Ausdauer	the endurance (no plural)
Nachteil	the disadvantage
Expertin	the female expert
Mithilfe	the assistance (no plural)
brandneu	brand new
Diplom	the diploma
Vorstellungsgespräch	the job interview (2)
Großstadt	the metropolis
eintragen	to register, to enrol, to enter (e.g., information on a questionnaire)
Esszimmer	the dining room
verstümmelt	mutilated
Arbeitslosigkeit	the unemployment
Bauernhof	the farm (1)
obgleich	although, albeit (rare and formal)
spalten	to split
Polizeiwache	the police station
Füller	the fountain pen
Klumpen	the lump
Lagerfeuer	the campfire
Zimmermädchen	the maid
Schminke	the make-up (especially the theatrical sort)
vorlegen	to submit, to present
ungesund	unhealthy
Teddybär	the teddy bear
Klassenzimmer	the classroom
Schnupfen	the (head) cold
Kraftwerk	the power station
stürmisch	stormy
gesetzlich	legal (1)
Finnland	Finland
Rotwein	the red wine
Zensur	the grade
renovieren	to renovate
Zugabe	the encore
Regenmantel	the raincoat
heimkommen	to come home
ausrasten	to go ballistic (to lose one's temper)
Erdgeschoss	the ground floor
Gasthaus	the inn, the (traditional) restaurant
Tomate	the tomato
campen	to camp
gültig	valid
Krampf	the cramp
sinnvoll	meaningful
bedecken	to cover
GmbH	the limited liability company
Weihnachtsbaum	the Christmas tree
Apotheker	the pharmacist
unverantwortlich	irresponsible
Billard	the billiards (no plural)
ledig	single, unmarried
Campen	the camping (as an activity) (no plural)
Gleichheit	the equality
Ohrfeige	slap in the face
nachweisen	to prove (2)
Abitur	the Gymnasium final year exam
vorgeben	to pretend, to profess
Kolumbien	Colombia
Stichwort	the key word
Auseinandersetzung	the dispute, the conflict
Babysitten	the babysitting (no plural)
unehrlich	dishonest
Toilettenpapier	the toilet paper (proper term)
knutschen	to smooch, to snog
schamlos	shameless
Weißwein	the white wine
Pudel	the poodle
Rübe	the turnip
herzlos	heartless
Einführung	the introduction
Reiseführer	the travel guide (person or book)
Waschlappen	the washrag, the washcloth
wegfliegen	to fly away
Luxemburg	Luxembourg
Hotdog	the hot dog
Statistik	the statistic
Fläche	1. the area, the space. 2. the surface
Holzfäller	the lumberjack
Festplatte	the hard disk
elektrisch	electric
beschränken	to restrict, to limit
tolerieren	to tolerate
Handwerker	the craftsperson
Sketch	the skit
Gitarrist	the male guitarist
Waschbecken	the washbasin
Schweinestall	the pigsty
umsetzen	1. to implement. 2. to transform, to convert. 3. to relocate
Kanne	the pot (as in, e.g., coffee pot)
schwedisch	Swedish (adj.)
sparsam	thrifty
heizen	to heat
mysteriös	mysterious
Kapitalismus	capitalism (no plural)
Windschutzscheibe	the windscreen
Güter	the goods (plural only)
rechtlich	legal (2)
Lasagne	the lasagna
schläfrig	sleepy
Karotte	the carrot
Abteilungsleiter	the department manager
Lebensjahr	the year of one's life
Cappuccino	the cappuccino
Erzählung	the story
Währung	the currency
Buchstabe	the letter of the alphabet
nicken	to nod
schminken	to put on makeup
abwaschen	to wash up (2)
Schauer	the shower (rain, meteor, etc.)
massiv	heavy, solid
freilich	certainly (1)
Epoche	the epoch
Mülltonne	the waste container, the wheelie bin
Waisenkind	the orphan
Nordamerika	North America
bunt	colourful
Stereoanlage	the stereo (system)
Turnhalle	the gymnasium
ansetzen	to position
selbstsicher	self-confident
Dialekt	the dialect
Klischee	the cliché
Juwelier	the jeweler
demokratisch	democratic
PC	the PC
Franken	the franc (former French currency)
klassisch	classical
Attraktion	the attraction
Geburtsort	the birthplace
bügeln	to iron
Hochhaus	the high-rise
Schlafsack	the sleeping bag
beschließen	to decide (1)
unordentlich	untidy
Most	the cider
Bushaltestelle	the bus stop
Wunderkind	the child prodigy
windig	windy
Jockey	the jockey
Geldstrafe	the monetary penalty
Senior	the male senior citizen
schneien	to snow
umstellen	to rearrange
Vorderseite	the front
anbauen	to grow (crops)
uralt	ancient
Fotografie	the photograph
formulieren	to formulate
Lilie	the lily
Vitamin	the vitamin
Reisebüro	the travel agency
Essig	the vinegar (no plural)
anprobieren	to try on
Moderator	the moderator
ermüdend	tedious, tiring
Halskette	the necklace
selbständig	independent, self-employed, autonomous
färben	to dye or colour
einigermaßen	somewhat
zerfallen	to disintegrate
Athlet	the athlete
zumal	particularly
Synagoge	the synagogue
Apfelkuchen	the apple pie
Badeanzug	the bathing suit
erwerben	to acquire
begeistern	to inspire
Landwirtschaft	the agriculture
human	humane
Nutzung	the use (N-)
Spielraum	the leeway
konservativ	conservative
Europäer	the male European
einerseits	on one hand
Fete	the party (1)
Zahnschmerzen	the toothache (plural only)
lebensmüde	weary of life
fließend	fluently
Bahnsteig	the train station platform
zusammenpassen	to match up, to fit together
fromm	pious
realisieren	to realize
Monarchie	the monarchy
hinausgehen	to go outside
wöchentlich	weekly
Gebühr	the fee
dienstags	on Tuesdays
Sonderangebot	the special sales offer
sonnig	sunny
Kassierer	the male cashier
Pianist	the male pianist
Videokamera	the video camera
Armbanduhr	the wrist watch
mäßig	moderate
ausbilden	to train
revolutionär	revolutionary
Kleiderschrank	the wardrobe
strikt	strict (exact cognate with English)
Likör	the liquor
mähen	to mow
hinsichtlich	with regard to
schmal	slim, narrow, thin face
Türke	the male Turk
Socke	the sock
Giraffe	the giraffe
ek(e)lig	nasty, disgusting
Besteck	the silverware, cutlery (no plural)
Ladenbesitzer	the shop owner
kämmen	to comb
Zwiebel	the onion
Sonnenbrand	the sunburn
Vorort	the suburb
Aussprache	the pronunciation
überholen	to overtake
hilfsbereit	ready to help
Rassismus	the racism (no plural)
Rockstar	the rock star
alarmieren	to alarm
Horrorfilm	the horror film
Quadratmeter	the square meter
chemisch	chemical
spekulieren	to speculate
Laus	the louse
Papierkorb	the wastepaper basket
Krankenversicherung	the health insurance
Schulzeit	the schooldays
stressig	stressful
schmücken	to decorate (with garlands)
vormittags	in the morning (2)
Umsatz	the turnover
Russin	the female Russian person
Alpen	the Alps (plural only)
populär	popular
Verpackung	the packaging
Rüssel	the trunk (of an elephant)
bewölkt	cloudy (1)
entsorgen	to dispose of
Nationalität	the nationality
signieren	to give a sign
Spinat	the spinach
biologisch	biological
dickköpfig	stubborn
saftig	juicy
knabbern	to nibble
Pferdeschwanz	the pony tail
Hymne	the hymn
Olivenöl	the olive oil
zunehmend	increasingly
Vorspeise	the hors d'oeuvre
Mikroskop	the microscope
aufschließen	to unlock
Vorwahl	1. the preliminary election. 2. the dialing code
Vorsatz	the resolution
Abwasch	the dirty dishes (no plural)
Mikrowelle	the microwave
Beschäftigte	the employee (2)
grundlegend	basic
digital	digital
Programmierer	the programmer
letzt	last
Marktplatz	the market place
säen	to sow, to seed
auffordern	to request
taktlos	tactless
Brosche	the brooch
exotisch	exotic
Arbeitsamt	the job centre
begründen	to justify
Straßenbahn	the tram, the streetcar
Brunch	the brunch
Buche	the beech tree
Kiefer	the pine tree
Eiche	the oak tree
Kassiererin	the female cashier
Warze	the wart
wirksam	effective, efficacious
Bettwäsche	the bedlinen
Zimt	the cinnamon
Spalt	the gap
Druckerei	the print shop
aufgeschlossen	open-minded
verwundert	astonished
Fleischer	the butcher (1)
BRD	the FRG (no plural)
verpflichten	to oblige
salzig	salty
übersät	strewn
Tenor	the tenor
Knopf	the button
Automat	the (vending) machine
Wasserhahn	the faucet, the tap
Zusatz	the additive, the supplement
Sicherheitsgurt	the seatbelt
Käsekuchen	the cheesecake
Köln	Cologne
Pfote	the paw
Allee	the alley, the avenue
Holocaust	the holocaust
Parkett	the parquet flooring: a type of cross-woodboard pattern
Sozialhilfe	the welfare, social assistance (no plural)
kommend	coming
umtauschen	to exchange (commodities, e.g., money, goods)
tauschen	to swap
Müsli	the muesli (cold, whole grain cereal with nuts and fruit, usually served with milk)
Tapete	the wallpaper
Schwierigkeit	the difficulty
klebrig	sticky
Strumpf	the stocking
Weltmeisterschaft	the world championship
Erkrankung	the illness (1)
ungewiss	uncertain
beleuchten	to light up
Strumpfhose	the tights
basteln	to do handicrafts
Beauftragte	the commissioner, the authorised agent
ziellos	aimless
glitzern	to glitter
Sommerferien	the summer vacation (plural only)
Kontext	the context
Trikot	the jersey
herumsitzen	to sit around
Eishockey	the hockey (no plural)
Stadtzentrum	the city or town center
Staatssicherheit	the Stasi (no plural)
Spalte	the fissure, the crevice, the crack in the wall, (typography) the space between two columns
selbstständig	independent
Gasthof	the inn (usually in the country side)
Untertasse	the saucer
duzen	to call du (instead of Sie)
Bewerbungsgespräch	the job interview (1)
gesellig	sociable
Referat	the report (as an school assignment), the paper
Anmeldung	1. the registration. 2. the place of registration/reception (colloquial)
Tastatur	the computer keyboard
verbrauchen	to consume
kombinieren	to combine
Schornstein	the chimney
Fahrerin	the female driver
Sauerkraut	the sauerkraut (no plural)
Abschleppwagen	the tow truck
Wortschatz	the vocabulary (2)
Gebildete	the educated person
Rückenschmerzen	the backache (plural only)
orientieren	to orientate
Integration	the integration
Rhein	the Rhine (no plural)
Lira	the lira (former Italian currency)
sportlich	athletic
beschädigen	to damage
stinkig	stinky
Schulabschluss	the high school graduation
Fotoapparat	the camera (photographs only)
Seifenoper	the soap opera
zahlreich	numerous
gestreift	striped
Betreuung	the care
Hecke	the hedge
Makkaroni	the macaroni (plural only)
Schlosser	the toolmaker
vorsehen	1. to plan (an event for a future time). 2. to set aside (for), to earmark (for). 3. to make provision (for)
leblos	lifeless
erheblich	significant
fettig	fatty
rutschig	slippery
lausig	lousy
Terminkalender	the appointment calendar
Friseuse	the female hairdresser
künstlerisch	artistic
Hamster	the hamster
Sterblichkeit	the mortality
Stadtteil	the district, the part of the city
Pfosten	the post (as in wooden post, etc.)
Enzyklopädie	the encyclopedia (E-)
Broschüre	the brochure
prägen	to shape
Rumänien	Romania
gesellschaftlich	social
Italienerin	the female Italian person
selbstlos	selfless
umsteigen	to change trains
Brokkoli	the broccoli (no plural)
haarig	hairy
Torwart	the goalkeeper
Schlaftablette	the sleeping pill
monatlich	monthly
Konditorei	the cake or sweet shop
Schuldschein	the IOU
Bankdirektor	the bank manager
Teig	the batter, dough
fade	bland, insipid
schütten	to spill
Einzelkind	the only child
zunehmen	to increase, to put on weight
Angler	the fisher
hinterfragen	to question, to challenge
Schlüsselbund	the keyring
einmarschieren	to invade
Förderung	the promotion (as in the act of supporting and/or encouraging a cause)
erfordern	to require, to necessitate
militärisch	military
gurgeln	to gargle
Namensschild	the name plate
elektronisch	electronic
Nudel	the noodle
Treibhauseffekt	the greenhouse effect
Muttersprache	the mother tongue
Biochemie	the biochemistry (no plural)
Kuli	the ball point pen (colloquial)
Kilogramm	the kilogram (no plural)
Koalition	the coalition
überfluten	to flood (1)
bürsten	to brush (the hair)
tolerant	tolerant
Popmusik	the pop music
überwiegend	predominant
Schlager	the pop song
Vorschau	the preview
betreuen	to care for
Bohne	the bean
folgend	following
Jahrzehnt	the decade
anordnen	to put in order
Harfe	the harp
Privatschule	the private school
befriedigend	satisfactory
Kantate	the cantata
Nachttisch	the night table
Krimi	the detective story
Auswirkung	the consequence, the effect
Bizeps	the biceps
Metzgerei	the butcher shop (2)
Schlachterei	the butcher shop (3)
abtrocknen	to dry up
